"participle","order","country","edited"
"genoemd","red","NL",TRUE
"gevonden","red","NL",TRUE
"opgepakt","red","BE",TRUE
"aangesproken","red","BE",TRUE
"gepland","green","BE",TRUE
"uitgesteld","green","BE",TRUE
"gemaakt","red","BE",TRUE
"gegund","red","NL",TRUE
"geannuleerd","red","BE",TRUE
"opgemaakt","red","BE",TRUE
"gekozen","green","BE",TRUE
"geweest","red","BE",TRUE
"gewekt","red","NL",FALSE
"gemaakt","red","NL",TRUE
"verlost","green","BE",FALSE
"getrapt","red","BE",TRUE
"gezegd","red","NL",TRUE
"vastgehouden","red","NL",TRUE
"bedacht","red","BE",TRUE
"gespeeld","red","NL",TRUE
"ontvangen","red","NL",TRUE
"ontslagen","red","NL",TRUE
"vastgebonden","green","BE",TRUE
"geweest","red","BE",FALSE
"gegeven","red","NL",TRUE
"genaderd","red","NL",TRUE
"uitgetrokken","red","NL",TRUE
"opgetrommeld","red","BE",TRUE
"gezien","green","BE",FALSE
"opgebiecht","green","BE",TRUE
"vermoord","red","NL",TRUE
"gekocht","red","BE",TRUE
"geschrokken","red","NL",TRUE
"geschapen","green","BE",FALSE
